"BUYER_STATE","BUYER_COUNTY","MONTH_NUM","YEAR_NUM","TOTAL_PILLS"
"KY","ALLEN","2","2009","120200"
"KY","ALLEN","3","2009","120000"
"KY","ALLEN","4","2009","111700"
"KY","ALLEN","5","2009","123800"
"KY","ALLEN","6","2009","125300"
"KY","ALLEN","7","2009","235100"
"KY","ALLEN","8","2009","92100"
"KY","ALLEN","9","2009","88300"
"KY","ALLEN","10","2009","99100"
"KY","ALLEN","11","2009","96500"
"KY","ALLEN","12","2009","139800"
"KY","ALLEN","1","2010","97600"
"KY","ALLEN","2","2010","92400"
"KY","ALLEN","3","2010","123500"
"KY","ALLEN","4","2010","122500"
"KY","ALLEN","5","2010","109000"
"KY","ALLEN","6","2010","149000"
"KY","ALLEN","7","2010","100900"
"KY","ALLEN","8","2010","102430"
"KY","ALLEN","9","2010","127800"
"KY","ALLEN","10","2010","123100"
"KY","ALLEN","11","2010","118500"
"KY","ALLEN","12","2010","128200"
"KY","ALLEN","1","2011","111900"
"KY","ALLEN","2","2011","120400"
"KY","ALLEN","3","2011","145340"
"KY","ALLEN","4","2011","128200"
"KY","ALLEN","5","2011","128930"
"KY","ALLEN","6","2011","138000"
"KY","ALLEN","7","2011","124600"
"KY","ALLEN","8","2011","161200"
"KY","ALLEN","9","2011","124100"
"KY","ALLEN","10","2011","128630"
"KY","ALLEN","11","2011","127300"
"KY","ALLEN","12","2011","141700"
"KY","ALLEN","1","2012","136700"
"KY","ALLEN","2","2012","130400"
"KY","ALLEN","3","2012","140000"
"KY","ALLEN","4","2012","141300"
"KY","ALLEN","5","2012","125300"
"KY","ALLEN","6","2012","121400"
"KY","ALLEN","7","2012","129100"
"KY","ALLEN","8","2012","142900"
"KY","ALLEN","9","2012","116000"
"KY","ALLEN","10","2012","127600"
"KY","ALLEN","11","2012","115130"
"KY","ALLEN","12","2012","112360"
"KY","ALLEN","1","2013","125030"
"KY","ALLEN","2","2013","122600"
"KY","ALLEN","3","2013","95860"
"KY","ALLEN","4","2013","115500"
"KY","ALLEN","5","2013","120500"
"KY","ALLEN","6","2013","104700"
"KY","ALLEN","7","2013","134600"
"KY","ALLEN","8","2013","101400"
"KY","ALLEN","9","2013","129200"
"KY","ALLEN","10","2013","90200"
"KY","ALLEN","11","2013","96500"
"KY","ALLEN","12","2013","91300"
"KY","ALLEN","1","2014","90900"
"KY","ALLEN","2","2014","86800"
"KY","ALLEN","3","2014","92500"
"KY","ALLEN","4","2014","105200"
"KY","ALLEN","5","2014","83500"
"KY","ALLEN","6","2014","94940"
"KY","ALLEN","7","2014","105500"
"KY","ALLEN","8","2014","94600"
"KY","ALLEN","9","2014","83160"
"KY","ALLEN","10","2014","152800"
"KY","ALLEN","11","2014","81800"
"KY","ALLEN","12","2014","116300"
"CA","ALPINE","7","2006","100"
"CA","ALPINE","12","2008","200"
"CA","ALPINE","1","2009","750"
"CA","ALPINE","2","2009","300"
